director_1,director_2,collaboration_count
Bobby Farrelly,Peter Farrelly,11
Ethan Coen,Joel Coen,8
Lana Wachowski,Lilly Wachowski,7
Aaron Seltzer,Jason Friedberg,5
Anthony Russo,Joe Russo,4
Brian Taylor,Mark Neveldine,4
Christopher Miller,Phil Lord,4
Jay Duplass,Mark Duplass,4
Albert Hughes,Allen Hughes,3
Ariel Schulman,Henry Joost,3
Chris Weitz,Paul Weitz,3
Eric Darnell,Tom McGrath,3
Glenn Ficarra,John Requa,3
John Musker,Ron Clements,3
Andrew Erwin,Jon Erwin,2
Ben Sharpsteen,Hamilton Luske,2
Brian Koppelman,David Levien,2
Chris Renaud,Pierre Coffin,2
Chris Sanders,Dean DeBlois,2
Colin Strause,Greg Strause,2
Danny Pang,Oxide Pang Chun,2
David Hand,James Algar,2
David Hand,Paul Satterfield,2
David Hand,Samuel Armstrong,2
David Hand,William Roberts,2
Deborah Kaplan,Harry Elfont,2
Don Bluth,Gary Goldman,2
Evan Goldberg,Seth Rogen,2
Fenton Bailey,Randy Barbato,2
Frank Miller,Robert Rodriguez,2
Gary Trousdale,Kirk Wise,2
Hayden Schlossberg,Jon Hurwitz,2
James Algar,Paul Satterfield,2
James Algar,Samuel Armstrong,2
James Algar,William Roberts,2
Jaume Balagueró,Paco Plaza,2
Jon Lucas,Scott Moore,2
Josh Gordon,Will Speck,2
Lloyd Kaufman,Michael Herz,2
Paul Satterfield,Samuel Armstrong,2
Paul Satterfield,William Roberts,2
Quentin Tarantino,Robert Rodriguez,2
Richard Glatzer,Wash Westmoreland,2
Robert Pulcini,Shari Springer Berman,2
Samuel Armstrong,William Roberts,2
 Zhang Li,Jackie Chan,1
 Zhang Li,张立 ,1
Aaron Hann,Mario Miscione,1
Aaron T. Wells,Michael Hoffman Jr.,1
Adam Carolla,Kevin Hench,1
Adam Jay Epstein,Andrew Jacobson,1
Alan Smithee,Arthur Hiller,1
Albert Magnoli,Andrei Konchalovsky,1
Alessandro Carloni,Jennifer Yuh Nelson,1
Alex Gibney,Eugene Jarecki,1
Alex Gibney,Heidi Ewing,1
Alex Gibney,Morgan Spurlock,1
Alex Gibney,Rachel Grady,1
Alex Gibney,Seth Gordon,1
Alex Smith,Andrew J. Smith,1
Alexander Payne,Alfonso Cuarón,1
Alexander Payne,Bruno Podalydès,1
Alexander Payne,Christopher Doyle,1
Alexander Payne,Daniela Thomas,1
Alexander Payne,Ethan Coen,1
Alexander Payne,Frédéric Auburtin,1
Alexander Payne,Gurinder Chadha,1
Alexander Payne,Gus Van Sant,1
Alexander Payne,Gérard Depardieu,1
Alexander Payne,Isabel Coixet,1
Alexander Payne,Joel Coen,1
Alexander Payne,Nobuhiro Suwa,1
Alexander Payne,Oliver Schmitz,1
Alexander Payne,Olivier Assayas,1
Alexander Payne,Richard LaGravenese,1
Alexander Payne,Sylvain Chomet,1
Alexander Payne,Tom Tykwer,1
Alexander Payne,Vincenzo Natali,1
Alexander Payne,Walter Salles,1
Alexander Payne,Wes Craven,1
Alexandre Rockwell,Allison Anders,1
Alexandre Rockwell,Quentin Tarantino,1
Alexandre Rockwell,Robert Rodriguez,1
Alfonso Cuarón,Bruno Podalydès,1
Alfonso Cuarón,Christopher Doyle,1
Alfonso Cuarón,Daniela Thomas,1
