director,movie_count,total_revenue
Steven Spielberg,27,9147393164.0
Woody Allen,22,859997248.0
Martin Scorsese,21,2016369965.0
Clint Eastwood,20,2512058888.0
Robert Rodriguez,17,1114199581.0
Ridley Scott,16,3189557997.0
Spike Lee,16,468326646.5
Steven Soderbergh,15,2139606110.0
Renny Harlin,15,1031500590.0
Tim Burton,14,3337418241.0
Oliver Stone,14,1279548615.0
Robert Zemeckis,13,3590622002.0
Ron Howard,13,2940059779.0
Joel Schumacher,13,1437036597.0
Barry Levinson,13,1244234966.5
Michael Bay,12,5832524638.0
Tony Scott,12,1867920739.0
Peter Farrelly,12,1370656887.0
Joel Coen,12,1037966382.0
Brian De Palma,12,921220751.0
Francis Ford Coppola,12,897455673.0
Kevin Smith,12,245381858.0
Chris Columbus,11,3900642296.0
Sam Raimi,11,3216833351.0
Shawn Levy,11,2377438420.0
Bobby Farrelly,11,1338217899.0
Richard Donner,11,1304160471.0
Rob Reiner,11,817120621.0
Wes Craven,11,769651648.0
Richard Linklater,11,312760145.0
David Fincher,10,2139346325.0
Brett Ratner,10,1937128907.0
Quentin Tarantino,10,1530968694.0
Paul W.S. Anderson,10,1301861740.0
John McTiernan,10,1241753861.0
Stephen Frears,10,428721474.0
John Carpenter,10,276216751.0
Peter Jackson,9,6498642820.0
M. Night Shyamalan,9,2452354930.0
Dennis Dugan,9,1444961533.0
Rob Cohen,9,1355060000.0
Phillip Noyce,9,1071971881.0
Lasse Hallström,9,586834983.0
Tyler Perry,9,507606152.0
Christopher Nolan,8,4227483234.0
Roland Emmerich,8,2956821040.0
Bryan Singer,8,2808235001.0
Martin Campbell,8,1869324957.0
Jay Roach,8,1722550236.0
Garry Marshall,8,1466191167.0
Marc Forster,8,1409091767.0
Ang Lee,8,1399595436.0
James Mangold,8,1193317183.0
George Miller,8,1173014244.0
Simon West,8,1087877964.0
Ivan Reitman,8,998531399.0
Adam Shankman,8,873562773.0
Paul Weitz,8,861118354.0
