method,cluster,cluster_name,total,profit_level_1_count,profit_level_2_count,profit_level_3_count,profit_level_1_ratio,profit_level_2_ratio,profit_level_3_ratio,profit_level_entropy
PCA,-1,noise,47,6,6,35,0.1276595744680851,0.1276595744680851,0.7446808510638298,1.0749195835557712
PCA,0,cluster_0,4724,1289,642,2793,0.2728619813717189,0.1359017781541067,0.5912362404741744,1.3508590314152378
PCA,1,cluster_1,5,0,0,5,0.0,0.0,1.0,0.0
PCA,2,cluster_2,4,0,0,4,0.0,0.0,1.0,0.0
PCA,3,cluster_3,13,0,1,12,0.0,0.07692307692307693,0.9230769230769231,0.39124356362925566
PCA,4,cluster_4,7,0,0,7,0.0,0.0,1.0,0.0
PCA,5,cluster_5,3,0,0,3,0.0,0.0,1.0,0.0
Isomap,-1,noise,30,6,6,18,0.2,0.2,0.6,1.3709505944546687
Isomap,0,cluster_0,4417,1184,594,2639,0.2680552411138782,0.13448041657233417,0.5974643423137876,1.3423624948335982
Isomap,1,cluster_1,127,35,17,75,0.2755905511811024,0.13385826771653545,0.5905511811023622,1.349525823138145
Isomap,2,cluster_2,100,33,18,49,0.33,0.18,0.49,1.4774118065103667
Isomap,3,cluster_3,103,28,6,69,0.27184466019417475,0.05825242718446602,0.6699029126213593,1.1369480967013397
Isomap,4,cluster_4,22,9,7,6,0.4090909090909091,0.3181818181818182,0.2727272727272727,1.5644050517413437
Isomap,5,cluster_5,4,0,1,3,0.0,0.25,0.75,0.8112781244591328
