budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
237000000.0,en,150.437577,162.0,Released,7.2,11800,2009,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.0
300000000.0,en,139.082615,169.0,Released,6.9,4500,2007,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
245000000.0,en,107.376788,148.0,Released,6.3,4466,2015,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
250000000.0,en,112.31295,165.0,Released,7.6,9106,2012,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
260000000.0,en,43.926995,132.0,Released,6.1,2124,2012,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
258000000.0,en,115.699814,139.0,Released,5.9,3576,2007,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
260000000.0,en,48.681969,100.0,Released,7.4,3330,2010,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
280000000.0,en,134.279229,141.0,Released,7.3,6767,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
250000000.0,en,98.885637,153.0,Released,7.4,5293,2009,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0
250000000.0,en,155.790452,151.0,Released,5.7,7004,2016,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
270000000.0,en,57.925623,154.0,Released,5.4,1400,2006,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.0
200000000.0,en,107.928811,106.0,Released,6.1,2965,2008,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
200000000.0,en,145.847379,151.0,Released,7.0,5246,2006,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
255000000.0,en,49.046956,149.0,Released,5.9,2311,2013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0
225000000.0,en,99.398009,143.0,Released,6.5,6359,2013,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.0
